	entrez	gene	first	second	third
306	204851	HIPK1	4	3	5
307	5880	RAC2	2	5	3
308	699	BUB1	5	3	4
309	5753	PTK6	3	4	4
310	1760	DMPK	3	3	3
311	5601	MAPK9	3	5	4
312	10000	AKT3	3	2	1
313	4921	DDR2	3	4	4
314	1017	CDK2	4	3	3
315	814	CAMK4	4	3	3
316	80824	DUSP16	4	2	3
317	3563	IL3RA	4	4	4
318	207	AKT1	3	4	2
319	23239	PHLPP1	4	4	3
320	9133	CCNB2	2	4	3
321	815	CAMK2A	3	3	3
322	7297	TYK2	3	2	4
323	6788	STK3	2	4	3
324	23035	PHLPP2	4	5	1
325	3845	KRAS	3	2	2
326	816	CAMK2B	3	2	4
327	817	CAMK2D	3	5	3
328	5881	RAC3	3	3	3
329	3977	LIFR	4	4	3
330	55681	SCYL2	4	4	3
331	56924	PAK6	4	1	4
