Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Estrogen signaling pathway_Homo sapiens_hsa04915	2/99	0.01443366439852875222904504681764592532999813556671142578125	0.0254844387036523289946643444636720232665538787841796875	0.053039584955776576669084221293815062381327152252197265625	0.09513449365083735675963083622264093719422817230224609375	-0.1492574526079591	0.6325817408912434	PRKCD;PIK3R1
Apoptosis_Homo sapiens_hsa04210	2/140	0.0276148378862755179696808482958658714778721332550048828125	0.043950375790832864331125762191732064820826053619384765625	0.095978057938617966637906420146464370191097259521484375	0.1527538105220257735883393479525693692266941070556640625	-0.1620283976388805	0.5815850620180102	IL3RA;PIK3R1
Measles_Homo sapiens_hsa05162	2/136	0.02617396586760671606253225718319299630820751190185546875	0.042864610768689255515528913065281813032925128936767578125	0.09143523571060789556508296982428873889148235321044921875	0.1497417628304158199181728150506387464702129364013671875	-0.1427926643340941	0.5201922527271369	PIK3R1;TLR4
Toll-like receptor signaling pathway_Homo sapiens_hsa04620	2/106	0.0164248299944122454208095263084032922051846981048583984375	0.0277015789457997589628757140189918573014438152313232421875	0.059744571416887500003856104058286291547119617462158203125	0.102289948031943744854999067683820612728595733642578125	-0.1078373392186143	0.44309942821125414	PIK3R1;TLR4
Hepatitis B_Homo sapiens_hsa05161	2/146	0.0298350316158735411053992692131942021660506725311279296875	0.046182994145119317386249946366660878993570804595947265625	0.10291430556865492629281533254470559768378734588623046875	0.159305705880246673000755208704504184424877166748046875	-0.10116052421561887	0.35528304645604564	PIK3R1;TLR4
Amoebiasis_Homo sapiens_hsa05146	2/100	0.0147112298241098941875559802383577334694564342498779296875	0.025574907232683352642510499208583496510982513427734375	0.053979641219694375620097304135924787260591983795166015625	0.09530780402852288835102712027946836315095424652099609375	-0.07413820132998657	0.3127997579312631	PIK3R1;TLR4
Phospholipase D signaling pathway_Homo sapiens_hsa04072	2/144	0.02908720175939101537654352114259381778538227081298828125	0.04565074720571089816889553958390024490654468536376953125	0.10058640991201618641870396686499589122831821441650390625	0.1578647822230253849884462624686420895159244537353515625	-0.0871503106381145	0.3082904767352215	RRAS2;PIK3R1
Hematopoietic cell lineage_Homo sapiens_hsa04640	2/88	0.01153554422687417223281070022267158492468297481536865234375	0.0217252749606130259041325558655444183386862277984619140625	0.0431119562139523626598247574293054640293121337890625	0.081194184202943608941183128990815021097660064697265625	-0.06201491400587257	0.27673052799475617	IL3RA;IL6R
Insulin signaling pathway_Homo sapiens_hsa04910	2/139	0.02725164723570812352893000252151978202164173126220703125	0.043950375790832864331125762191732064820826053619384765625	0.0948361011756506389058785089218872599303722381591796875	0.1527538105220257735883393479525693692266941070556640625	-0.07548175923228292	0.27193370401325345	ARAF;PIK3R1
Toxoplasmosis_Homo sapiens_hsa05145	2/118	0.02009387653323239930625021543164621107280254364013671875	0.033391294827283257706795893682283349335193634033203125	0.07187966340743685844660859629584592767059803009033203125	0.11944708772118184381128003224148415029048919677734375	-0.06516399155930605	0.2546178812329668	PIK3R1;TLR4
Influenza A_Homo sapiens_hsa05164	2/175	0.041509931006332663472324639997168560512363910675048828125	0.0633867865366971872109758123770006932318210601806640625	0.138233705005248064257017404088401235640048980712890625	0.208272115541240421254798320660484023392200469970703125	-0.07942681588002935	0.25272203614642985	PIK3R1;TLR4
Rap1 signaling pathway_Homo sapiens_hsa04015	2/211	0.057970908619476506362655499060565489344298839569091796875	0.08619358781580059580829100696064415387809276580810546875	0.185195413913445572351434975644224323332309722900390625	0.2583590342249302285182466221158392727375030517578125	-0.07679473486647005	0.2186971187592881	PIK3R1;IGF1R
Chronic myeloid leukemia_Homo sapiens_hsa05220	2/73	0.0080580718728278134810327770765070454217493534088134765625	0.015433256298805812789520786054708878509700298309326171875	0.0308936547098053182480725809000432491302490234375	0.0591692030882711994532741073271608911454677581787109375	-0.03830097901546646	0.18465212117165977	ARAF;PIK3R1
mTOR signaling pathway_Homo sapiens_hsa04150	2/60	0.00550964695232536959268454523908076225779950618743896484375	0.011972886646399359678039076015920727513730525970458984375	0.021676853379421649747893496851247618906199932098388671875	0.048029106507346007448600033740149228833615779876708984375	-0.03433121211016146	0.17856537943840745	RPS6KA1;PIK3R1
Alcoholism_Homo sapiens_hsa05034	2/179	0.043236431436912088621671301780224894173443317413330078125	0.0651428900316142200921376570477150380611419677734375	0.143305653265256072170785728303599171340465545654296875	0.211902459744990279144616351914010010659694671630859375	-0.04790791895662989	0.15048221413336352	ARAF;CAMKK1
Non-small cell lung cancer_Homo sapiens_hsa05223	2/56	0.004816004893324486897665526186074202996678650379180908203125	0.0108841710589133409958773057724101818166673183441162109375	0.0191201503239766361363916047366728889755904674530029296875	0.044115207736161669849206390381368692032992839813232421875	-0.008752293339614622	0.046700579181275084	ARAF;PIK3R1
Longevity regulating pathway - multiple species_Homo sapiens_hsa04213	2/64	0.006246349001110314096141262751871181535534560680389404296875	0.0130710636504715836669898720856508589349687099456787109375	0.0243680811988265765000161167108672088943421840667724609375	0.050992466212359317812019554594371584244072437286376953125	-0.006819299582748439	0.03461311540540406	PIK3R1;IGF1R
Acute myeloid leukemia_Homo sapiens_hsa05221	2/57	0.00498534338263407518498926407346516498364508152008056640625	0.0110459569066205971765715077026470680721104145050048828125	0.019746482182665225924012020186637528240680694580078125	0.0446270497328234150291592641224269755184650421142578125	0.019654293021535044	-0.1041923797403883	ARAF;PIK3R1
Colorectal cancer_Homo sapiens_hsa05210	2/62	0.00587265552020957252998822895051489467732608318328857421875	0.01252094478837135170523620075755388825200498104095458984375	0.0230059153686947813477470248244571848772466182708740234375	0.049993623781971356645481563418798032216727733612060546875	0.04369621605358749	-0.224487053458469	ARAF;PIK3R1
Pancreatic cancer_Homo sapiens_hsa05212	2/66	0.00663064783154427607458902826920166262425482273101806640625	0.0131449685081491789151453275508174556307494640350341796875	0.0257628302911461735946740958524969755671918392181396484375	0.051073681103500308264830920279564452357590198516845703125	0.05827159601534479	-0.2922934004541345	ARAF;PIK3R1
Long-term potentiation_Homo sapiens_hsa04720	2/66	0.00663064783154427607458902826920166262425482273101806640625	0.0131449685081491789151453275508174556307494640350341796875	0.0257628302911461735946740958524969755671918392181396484375	0.051073681103500308264830920279564452357590198516845703125	0.05879825105988473	-0.29493512994776916	RPS6KA1;ARAF
Endometrial cancer_Homo sapiens_hsa05213	2/52	0.00416606769339608433433408407609022106043994426727294921875	0.00960746223170933812129934636914185830391943454742431640625	0.016702245662433383432965428028182941488921642303466796875	0.041029429562064616276995110411007772199809551239013671875	0.05451181019877244	-0.29876738558866056	ARAF;PIK3R1
Adipocytokine signaling pathway_Homo sapiens_hsa04920	2/70	0.007430745357918413541986613068957012728787958621978759765625	0.014477141818013461449510259626549668610095977783203125	0.0286480227137783337310050768564906320534646511077880859375	0.055814251149257788908730759658283204771578311920166015625	0.09559571362655622	-0.4686225303623546	LEPR;CAMKK1
MicroRNAs in cancer_Homo sapiens_hsa05206	1/297	0.425395376189537766098425208838307298719882965087890625	0.425395376189537766098425208838307298719882965087890625	0.67607448057448371603328496348694898188114166259765625	0.67607448057448371603328496348694898188114166259765625	0.7970622497287934	-0.6812779948419998	ROCK1
Endocytosis_Homo sapiens_hsa04144	1/259	0.382895543856990594466793709216290153563022613525390625	0.389794562665224664232965778865036554634571075439453125	0.62497079158318291636220465079532004892826080322265625	0.63623152656666370763360873752390034496784210205078125	0.7377805707028576	-0.7082642265291266	IGF1R
Neuroactive ligand-receptor interaction_Homo sapiens_hsa04080	1/277	0.403395034025989918102794717924552969634532928466796875	0.406996775401221977386256867248448543250560760498046875	0.650075770560393895181050538667477667331695556640625	0.65588001851182597956579911624430678784847259521484375	0.7882200516030412	-0.7155768749215072	LEPR
Epstein-Barr virus infection_Homo sapiens_hsa05169	1/202	0.313356584102900848076700413002981804311275482177734375	0.324855908290163253315796509923529811203479766845703125	0.53352550827984079884203083565807901322841644287109375	0.55310442601488085667682526036514900624752044677734375	0.7196395912481377	-0.8350794900221812	PIK3R1
Viral carcinogenesis_Homo sapiens_hsa05203	1/205	0.317199341084925590106280424151918850839138031005859375	0.325850232205423584463943598166224546730518341064453125	0.53883094138832132724559187408885918557643890380859375	0.55352633069891188366540291099227033555507659912109375	0.7904191951354279	-0.907578974820892	PIK3R1
Transcriptional misregulation in cancer_Homo sapiens_hsa05202	1/180	0.284526232666467981946567533668712712824344635009765625	0.29769874343806368433007492058095522224903106689453125	0.4927858540082514782199041292187757790088653564453125	0.51560001391604093345932824377086944878101348876953125	0.7707033288699893	-0.9687199990946296	IGF1R
Tuberculosis_Homo sapiens_hsa05152	1/178	0.28184764254877869849025273651932366192340850830078125	0.297652183252448521155741900656721554696559906005859375	0.488917127903316151016355206593289040029048919677734375	0.51560001391604093345932824377086944878101348876953125	0.7779653231738874	-0.9852064387861947	TLR4
Shigellosis_Homo sapiens_hsa05131	2/65	0.006437177704076375850394953204158809967339038848876953125	0.0131449685081491789151453275508174556307494640350341796875	0.0250614151631693322930249934188395855017006397247314453125	0.051073681103500308264830920279564452357590198516845703125	0.20865351717941608	-1.0527957653745315	ROCK1;ROCK2
Wnt signaling pathway_Homo sapiens_hsa04310	1/142	0.2319307915210274406714319184175110422074794769287109375	0.24960170897024858138735226020799018442630767822265625	0.41423090757259639627108072090777568519115447998046875	0.4457913576733656402240058014285750687122344970703125	0.7615098356517787	-1.112806708208441	ROCK2
Phagosome_Homo sapiens_hsa04145	1/154	0.248933621286079598267093615504563786089420318603515625	0.265372634012518815449510611870209686458110809326171875	0.44022188206574275337601420687860809266567230224609375	0.46929313842857478533687753952108323574066162109375	0.8140381374827779	-1.131976198180106	TLR4
Osteoclast differentiation_Homo sapiens_hsa04380	1/132	0.217476194015846668872171676412108354270458221435546875	0.2362962492672180114805513539977255277335643768310546875	0.391689018241409836473820860192063264548778533935546875	0.4255851832815318314118258058442734181880950927734375	0.8017039316712061	-1.2231323402205532	PIK3R1
TNF signaling pathway_Homo sapiens_hsa04668	1/110	0.18473826767235568269143186626024544239044189453125	0.2080182361488496223245192595641128718852996826171875	0.33912353214394774791884401565766893327236175537109375	0.381183466434949824730438194819726049900054931640625	0.7508548336170321	-1.268055074757384	PIK3R1
Type II diabetes mellitus_Homo sapiens_hsa04930	2/48	0.0035604869754384611997555243334545593825168907642364501953125	0.00849198357435300595075222673813186702318489551544189453125	0.01442750181438543811973662656100714229978621006011962890625	0.037052447841489873081588513059614342637360095977783203125	0.23209120466737412	-1.3084972439670448	PRKCD;PIK3R1
