GeneSymbol	GeneID	DiseaseName	DiseaseID	DirectEvidence	InferenceChemicalName	InferenceScore	OmimIDs	PubMedIDs
AACS	65985	Muscular Atrophy	MESH:D009133		Tetracycline	29.00		6213862
AADAC	13	Muscular Atrophy	MESH:D009133		Cocaine	14.24		15204026
AADAC	13	Muscular Atrophy	MESH:D009133		Dexamethasone	14.24		12135589|12721153|1351811|14518677|14618091|16318624|16967495|17053101|17153611|18436443|18467435|19032942|1947450|19967395|20169591|21094144|24124592|2424746|24550007|4441321
AADAC	13	Muscular Atrophy	MESH:D009133		Rifampin	14.24		6789927
AADAC	13	Muscular Atrophy	MESH:D009133		Tetracycline	14.24		6213862
AADAT	51166	Muscular Atrophy	MESH:D009133		Amiodarone	18.57		90132
AADAT	51166	Muscular Atrophy	MESH:D009133		Clofibrate	18.57		6511338
AADAT	51166	Muscular Atrophy	MESH:D009133		Dietary Fats	18.57		25614714
AADAT	51166	Muscular Atrophy	MESH:D009133		Quercetin	18.57		25614714
AADAT	51166	Muscular Atrophy	MESH:D009133		Testosterone	18.57		18436443|21094144|21931329
AAED1	195827	Muscular Atrophy	MESH:D009133		Air Pollutants, Occupational	13.00		10963110
AAED1	195827	Muscular Atrophy	MESH:D009133		Dexamethasone	13.00		12135589|12721153|1351811|14518677|14618091|16318624|16967495|17053101|17153611|18436443|18467435|19032942|1947450|19967395|20169591|21094144|24124592|2424746|24550007|4441321
AAED1	195827	Muscular Atrophy	MESH:D009133		Quercetin	13.00		25614714
AAK1	22848	Muscular Atrophy	MESH:D009133		Cisplatin	11.32		24823295
AAK1	22848	Muscular Atrophy	MESH:D009133		Clofibrate	11.32		6511338
AAK1	22848	Muscular Atrophy	MESH:D009133		Dietary Fats	11.32		25614714
AAMDC	28971	Muscular Atrophy	MESH:D009133		Vincristine	3.39		4290103|4294312|4314181|5813374
AAMP	14	Muscular Atrophy	MESH:D009133		Air Pollutants, Occupational	12.09		10963110
AAMP	14	Muscular Atrophy	MESH:D009133		Clofibrate	12.09		6511338
AAMP	14	Muscular Atrophy	MESH:D009133		Vitamin E	12.09		572510
AANAT	15	Muscular Atrophy	MESH:D009133		Cocaine	3.54		15204026
AARS	16	Muscular Atrophy	MESH:D009133		Air Pollutants, Occupational	9.58		10963110
AARS	16	Muscular Atrophy	MESH:D009133		Cisplatin	9.58		24823295
AARS	16	Muscular Atrophy	MESH:D009133		Dexamethasone	9.58		12135589|12721153|1351811|14518677|14618091|16318624|16967495|17053101|17153611|18436443|18467435|19032942|1947450|19967395|20169591|21094144|24124592|2424746|24550007|4441321
AASS	10157	Muscular Atrophy	MESH:D009133		Cisplatin	13.70		24823295
AASS	10157	Muscular Atrophy	MESH:D009133		Clofibrate	13.70		6511338
AASS	10157	Muscular Atrophy	MESH:D009133		Quercetin	13.70		25614714
AASS	10157	Muscular Atrophy	MESH:D009133		Vitamin E	13.70		572510
AAT1	252842	Muscular Atrophy	MESH:D009133		Dietary Fats	4.19		25614714
AATBC	284837	Muscular Atrophy	MESH:D009133		Cisplatin	3.85		24823295
AATF	26574	Muscular Atrophy	MESH:D009133		resveratrol	2.95		20861279|21715682|24534773
AATK	9625	Muscular Atrophy	MESH:D009133		Clofibrate	11.99		6511338
AATK	9625	Muscular Atrophy	MESH:D009133		Dietary Fats	11.99		25614714
AATK	9625	Muscular Atrophy	MESH:D009133		Nicotine	11.99		18694773
ABAT	18	Muscular Atrophy	MESH:D009133		Cisplatin	16.18		24823295
ABAT	18	Muscular Atrophy	MESH:D009133		Clofibrate	16.18		6511338
ABAT	18	Muscular Atrophy	MESH:D009133		Cocaine	16.18		15204026
ABAT	18	Muscular Atrophy	MESH:D009133		Dexamethasone	16.18		12135589|12721153|1351811|14518677|14618091|16318624|16967495|17053101|17153611|18436443|18467435|19032942|1947450|19967395|20169591|21094144|24124592|2424746|24550007|4441321
ABAT	18	Muscular Atrophy	MESH:D009133		Dietary Fats	16.18		25614714
ABCA1	19	Muscular Atrophy	MESH:D009133		Chromium	33.34		19071005
ABCA1	19	Muscular Atrophy	MESH:D009133		Clofibrate	33.34		6511338
ABCA1	19	Muscular Atrophy	MESH:D009133		Dexamethasone	33.34		12135589|12721153|1351811|14518677|14618091|16318624|16967495|17053101|17153611|18436443|18467435|19032942|1947450|19967395|20169591|21094144|24124592|2424746|24550007|4441321
ABCA1	19	Muscular Atrophy	MESH:D009133		Dietary Fats	33.34		25614714
ABCA1	19	Muscular Atrophy	MESH:D009133		Mifepristone	33.34		12721153|2424746
ABCA1	19	Muscular Atrophy	MESH:D009133		Quercetin	33.34		25614714
ABCA1	19	Muscular Atrophy	MESH:D009133		resveratrol	33.34		20861279|21715682|24534773
ABCA1	19	Muscular Atrophy	MESH:D009133		Rifampin	33.34		6789927
ABCA1	19	Muscular Atrophy	MESH:D009133		Testosterone	33.34		18436443|21094144|21931329
ABCA1	19	Muscular Atrophy	MESH:D009133		Tetracycline	33.34		6213862
ABCA1	19	Muscular Atrophy	MESH:D009133		Vincristine	33.34		4290103|4294312|4314181|5813374
ABCA12	26154	Muscular Atrophy	MESH:D009133		Cisplatin	16.57		24823295
ABCA12	26154	Muscular Atrophy	MESH:D009133		Quercetin	16.57		25614714
ABCA12	26154	Muscular Atrophy	MESH:D009133		Testosterone	16.57		18436443|21094144|21931329
ABCA12	26154	Muscular Atrophy	MESH:D009133		Vincristine	16.57		4290103|4294312|4314181|5813374
ABCA13	154664	Muscular Atrophy	MESH:D009133		Air Pollutants, Occupational	12.22		10963110
ABCA13	154664	Muscular Atrophy	MESH:D009133		Cisplatin	12.22		24823295
ABCA13	154664	Muscular Atrophy	MESH:D009133		Colchicine	12.22		8234983
ABCA17	381072	Muscular Atrophy	MESH:D009133		Dietary Fats	3.50		25614714
ABCA1A	558924	Muscular Atrophy	MESH:D009133		Amiodarone	8.83		90132
ABCA1A	558924	Muscular Atrophy	MESH:D009133		Tetracycline	8.83		6213862
ABCA2	20	Muscular Atrophy	MESH:D009133		Amiodarone	6.95		90132
ABCA2	20	Muscular Atrophy	MESH:D009133		Cisplatin	6.95		24823295
ABCA3	21	Muscular Atrophy	MESH:D009133		Zidovudine	3.51		1892364|8438050
ABCA4	24	Muscular Atrophy	MESH:D009133		Vincristine	3.49		4290103|4294312|4314181|5813374
ABCA5	23461	Muscular Atrophy	MESH:D009133		Cocaine	10.35		15204026
ABCA5	23461	Muscular Atrophy	MESH:D009133		Quercetin	10.35		25614714
ABCA5	23461	Muscular Atrophy	MESH:D009133		Vincristine	10.35		4290103|4294312|4314181|5813374
ABCA6	23460	Muscular Atrophy	MESH:D009133		Cisplatin	16.33		24823295
ABCA6	23460	Muscular Atrophy	MESH:D009133		Dexamethasone	16.33		12135589|12721153|1351811|14518677|14618091|16318624|16967495|17053101|17153611|18436443|18467435|19032942|1947450|19967395|20169591|21094144|24124592|2424746|24550007|4441321
ABCA6	23460	Muscular Atrophy	MESH:D009133		Dietary Fats	16.33		25614714
ABCA6	23460	Muscular Atrophy	MESH:D009133		resveratrol	16.33		20861279|21715682|24534773
ABCA7	10347	Muscular Atrophy	MESH:D009133		Cisplatin	11.43		24823295
ABCA7	10347	Muscular Atrophy	MESH:D009133		Quercetin	11.43		25614714
ABCA7	10347	Muscular Atrophy	MESH:D009133		Zidovudine	11.43		1892364|8438050
ABCA8	10351	Muscular Atrophy	MESH:D009133		Clofibrate	6.81		6511338
ABCA8	10351	Muscular Atrophy	MESH:D009133		Vincristine	6.81		4290103|4294312|4314181|5813374
ABCA8A	217258	Muscular Atrophy	MESH:D009133		Clofibrate	6.41		6511338
ABCA8A	217258	Muscular Atrophy	MESH:D009133		Quercetin	6.41		25614714
ABCA8B	27404	Muscular Atrophy	MESH:D009133		Dietary Fats	8.25		25614714
ABCA8B	27404	Muscular Atrophy	MESH:D009133		Tetracycline	8.25		6213862
ABCB1	5243	Muscular Atrophy	MESH:D009133		Amiodarone	43.87		90132
ABCB1	5243	Muscular Atrophy	MESH:D009133		Cisplatin	43.87		24823295
ABCB1	5243	Muscular Atrophy	MESH:D009133		Clofibrate	43.87		6511338
ABCB1	5243	Muscular Atrophy	MESH:D009133		Colchicine	43.87		8234983
ABCB1	5243	Muscular Atrophy	MESH:D009133		Dexamethasone	43.87		12135589|12721153|1351811|14518677|14618091|16318624|16967495|17053101|17153611|18436443|18467435|19032942|1947450|19967395|20169591|21094144|24124592|2424746|24550007|4441321
ABCB1	5243	Muscular Atrophy	MESH:D009133		Hydrocortisone	43.87		4441321|8491306
ABCB1	5243	Muscular Atrophy	MESH:D009133		irinotecan	43.87		19401694
ABCB1	5243	Muscular Atrophy	MESH:D009133		Methylprednisolone	43.87		10641615|21931329|3420309|8665051
ABCB1	5243	Muscular Atrophy	MESH:D009133		Prednisolone	43.87		10910842|2425813|4502228|7363988|8226480
ABCB1	5243	Muscular Atrophy	MESH:D009133		Prednisone	43.87		3938399|3998075|6851197|6986827
ABCB1	5243	Muscular Atrophy	MESH:D009133		Quercetin	43.87		25614714
ABCB1	5243	Muscular Atrophy	MESH:D009133		resveratrol	43.87		20861279|21715682|24534773
ABCB1	5243	Muscular Atrophy	MESH:D009133		Rifampin	43.87		6789927
ABCB1	5243	Muscular Atrophy	MESH:D009133		Tetracycline	43.87		6213862
ABCB1	5243	Muscular Atrophy	MESH:D009133		Vincristine	43.87		4290103|4294312|4314181|5813374
ABCB1	5243	Muscular Atrophy	MESH:D009133		Vitamin B 12	43.87		2044594
ABCB1	5243	Muscular Atrophy	MESH:D009133		Zidovudine	43.87		1892364|8438050
ABCB10	23456	Muscular Atrophy	MESH:D009133		Cisplatin	2.55		24823295
ABCB11	8647	Muscular Atrophy	MESH:D009133		Amiodarone	30.26		90132
ABCB11	8647	Muscular Atrophy	MESH:D009133		Clofibrate	30.26		6511338
ABCB11	8647	Muscular Atrophy	MESH:D009133		Colchicine	30.26		8234983
ABCB11	8647	Muscular Atrophy	MESH:D009133		Dexamethasone	30.26		12135589|12721153|1351811|14518677|14618091|16318624|16967495|17053101|17153611|18436443|18467435|19032942|1947450|19967395|20169591|21094144|24124592|2424746|24550007|4441321
ABCB11	8647	Muscular Atrophy	MESH:D009133		Dietary Fats	30.26		25614714
ABCB11	8647	Muscular Atrophy	MESH:D009133		Mifepristone	30.26		12721153|2424746
ABCB11	8647	Muscular Atrophy	MESH:D009133		Quercetin	30.26		25614714
ABCB11	8647	Muscular Atrophy	MESH:D009133		Rifampin	30.26		6789927
ABCB11	8647	Muscular Atrophy	MESH:D009133		Taurine	30.26		16318624
ABCB11	8647	Muscular Atrophy	MESH:D009133		Tetracycline	30.26		6213862
ABCB11	8647	Muscular Atrophy	MESH:D009133		Zidovudine	30.26		1892364|8438050
ABCB1A	18671	Muscular Atrophy	MESH:D009133		Amiodarone	31.71		90132
ABCB1A	18671	Muscular Atrophy	MESH:D009133		Clofibrate	31.71		6511338
ABCB1A	18671	Muscular Atrophy	MESH:D009133		Colchicine	31.71		8234983
ABCB1A	18671	Muscular Atrophy	MESH:D009133		Dexamethasone	31.71		12135589|12721153|1351811|14518677|14618091|16318624|16967495|17053101|17153611|18436443|18467435|19032942|1947450|19967395|20169591|21094144|24124592|2424746|24550007|4441321
ABCB1A	18671	Muscular Atrophy	MESH:D009133		Dietary Fats	31.71		25614714
ABCB1A	18671	Muscular Atrophy	MESH:D009133		irinotecan	31.71		19401694
ABCB1A	18671	Muscular Atrophy	MESH:D009133		Mifepristone	31.71		12721153|2424746
ABCB1A	18671	Muscular Atrophy	MESH:D009133		Prednisone	31.71		3938399|3998075|6851197|6986827
ABCB1A	18671	Muscular Atrophy	MESH:D009133		Rifampin	31.71		6789927
ABCB1A	18671	Muscular Atrophy	MESH:D009133		Vincristine	31.71		4290103|4294312|4314181|5813374
ABCB1B	18669	Muscular Atrophy	MESH:D009133		Amiodarone	21.50		90132
ABCB1B	18669	Muscular Atrophy	MESH:D009133		Cisplatin	21.50		24823295
ABCB1B	18669	Muscular Atrophy	MESH:D009133		Dexamethasone	21.50		12135589|12721153|1351811|14518677|14618091|16318624|16967495|17053101|17153611|18436443|18467435|19032942|1947450|19967395|20169591|21094144|24124592|2424746|24550007|4441321
ABCB1B	18669	Muscular Atrophy	MESH:D009133		irinotecan	21.50		19401694
ABCB1B	18669	Muscular Atrophy	MESH:D009133		Prednisone	21.50		3938399|3998075|6851197|6986827
ABCB1B	18669	Muscular Atrophy	MESH:D009133		resveratrol	21.50		20861279|21715682|24534773
ABCB1B	18669	Muscular Atrophy	MESH:D009133		Vincristine	21.50		4290103|4294312|4314181|5813374
ABCB4	5244	Muscular Atrophy	MESH:D009133		Amiodarone	19.77		90132
ABCB4	5244	Muscular Atrophy	MESH:D009133		Clofibrate	19.77		6511338
ABCB4	5244	Muscular Atrophy	MESH:D009133		Dexamethasone	19.77		12135589|12721153|1351811|14518677|14618091|16318624|16967495|17053101|17153611|18436443|18467435|19032942|1947450|19967395|20169591|21094144|24124592|2424746|24550007|4441321
ABCB4	5244	Muscular Atrophy	MESH:D009133		Dietary Fats	19.77		25614714
ABCB4	5244	Muscular Atrophy	MESH:D009133		Quercetin	19.77		25614714
ABCB4	5244	Muscular Atrophy	MESH:D009133		Tetracycline	19.77		6213862
ABCB4	5244	Muscular Atrophy	MESH:D009133		Vincristine	19.77		4290103|4294312|4314181|5813374
ABCB5	340273	Muscular Atrophy	MESH:D009133		Amiodarone	8.00		90132
ABCB5	340273	Muscular Atrophy	MESH:D009133		Tetracycline	8.00		6213862
ABCB6	10058	Muscular Atrophy	MESH:D009133		Cisplatin	9.16		24823295
ABCB6	10058	Muscular Atrophy	MESH:D009133		Clofibrate	9.16		6511338
ABCB6	10058	Muscular Atrophy	MESH:D009133		Vincristine	9.16		4290103|4294312|4314181|5813374
ABCB6A	564067	Muscular Atrophy	MESH:D009133		Amiodarone	9.40		90132
ABCB6A	564067	Muscular Atrophy	MESH:D009133		Tetracycline	9.40		6213862
ABCB7	22	Muscular Atrophy	MESH:D009133		Cisplatin	7.17		24823295
ABCB7	22	Muscular Atrophy	MESH:D009133		Clofibrate	7.17		6511338
ABCB8	11194	Muscular Atrophy	MESH:D009133		Cisplatin	2.91		24823295
ABCB9	23457	Muscular Atrophy	MESH:D009133		Amiodarone	19.87		90132
ABCB9	23457	Muscular Atrophy	MESH:D009133		Cisplatin	19.87		24823295
ABCB9	23457	Muscular Atrophy	MESH:D009133		resveratrol	19.87		20861279|21715682|24534773
ABCB9	23457	Muscular Atrophy	MESH:D009133		Tetracycline	19.87		6213862
ABCB9	23457	Muscular Atrophy	MESH:D009133		Zidovudine	19.87		1892364|8438050
ABCC1	4363	Muscular Atrophy	MESH:D009133		Cisplatin	29.99		24823295
ABCC1	4363	Muscular Atrophy	MESH:D009133		Colchicine	29.99		8234983
ABCC1	4363	Muscular Atrophy	MESH:D009133		Dexamethasone	29.99		12135589|12721153|1351811|14518677|14618091|16318624|16967495|17053101|17153611|18436443|18467435|19032942|1947450|19967395|20169591|21094144|24124592|2424746|24550007|4441321
ABCC1	4363	Muscular Atrophy	MESH:D009133		irinotecan	29.99		19401694
ABCC1	4363	Muscular Atrophy	MESH:D009133		Melphalan	29.99		7802575
ABCC1	4363	Muscular Atrophy	MESH:D009133		Quercetin	29.99		25614714
ABCC1	4363	Muscular Atrophy	MESH:D009133		resveratrol	29.99		20861279|21715682|24534773
ABCC1	4363	Muscular Atrophy	MESH:D009133		Rifampin	29.99		6789927
ABCC1	4363	Muscular Atrophy	MESH:D009133		Testosterone	29.99		18436443|21094144|21931329
ABCC1	4363	Muscular Atrophy	MESH:D009133		Vincristine	29.99		4290103|4294312|4314181|5813374
ABCC1	4363	Muscular Atrophy	MESH:D009133		Zidovudine	29.99		1892364|8438050
ABCC10	89845	Muscular Atrophy	MESH:D009133		Vincristine	7.79		4290103|4294312|4314181|5813374
ABCC10	89845	Muscular Atrophy	MESH:D009133		Zidovudine	7.79		1892364|8438050
ABCC11	85320	Muscular Atrophy	MESH:D009133		Amiodarone	8.67		90132
ABCC11	85320	Muscular Atrophy	MESH:D009133		Zidovudine	8.67		1892364|8438050
ABCC12	94160	Muscular Atrophy	MESH:D009133		Amiodarone	8.23		90132
ABCC12	94160	Muscular Atrophy	MESH:D009133		Tetracycline	8.23		6213862
ABCC2	1244	Muscular Atrophy	MESH:D009133		Amiodarone	49.74		90132
ABCC2	1244	Muscular Atrophy	MESH:D009133		Ciprofloxacin	49.74		19401694
ABCC2	1244	Muscular Atrophy	MESH:D009133		Cisplatin	49.74		24823295
ABCC2	1244	Muscular Atrophy	MESH:D009133		Clofibrate	49.74		6511338
ABCC2	1244	Muscular Atrophy	MESH:D009133		Dapsone	49.74		6322702
ABCC2	1244	Muscular Atrophy	MESH:D009133		Dexamethasone	49.74		12135589|12721153|1351811|14518677|14618091|16318624|16967495|17053101|17153611|18436443|18467435|19032942|1947450|19967395|20169591|21094144|24124592|2424746|24550007|4441321
ABCC2	1244	Muscular Atrophy	MESH:D009133		Dietary Fats	49.74		25614714
ABCC2	1244	Muscular Atrophy	MESH:D009133		irinotecan	49.74		19401694
ABCC2	1244	Muscular Atrophy	MESH:D009133		Mifepristone	49.74		12721153|2424746
ABCC2	1244	Muscular Atrophy	MESH:D009133		Quercetin	49.74		25614714
ABCC2	1244	Muscular Atrophy	MESH:D009133		resveratrol	49.74		20861279|21715682|24534773
ABCC2	1244	Muscular Atrophy	MESH:D009133		Rifampin	49.74		6789927
ABCC2	1244	Muscular Atrophy	MESH:D009133		Taurine	49.74		16318624
ABCC2	1244	Muscular Atrophy	MESH:D009133		Testosterone	49.74		18436443|21094144|21931329
ABCC2	1244	Muscular Atrophy	MESH:D009133		Tetracycline	49.74		6213862
ABCC2	1244	Muscular Atrophy	MESH:D009133		Vincristine	49.74		4290103|4294312|4314181|5813374
ABCC2	1244	Muscular Atrophy	MESH:D009133		Vitamin E	49.74		572510
ABCC3	8714	Muscular Atrophy	MESH:D009133		Amiodarone	52.80		90132
ABCC3	8714	Muscular Atrophy	MESH:D009133		Ciprofloxacin	52.80		19401694
ABCC3	8714	Muscular Atrophy	MESH:D009133		Cisplatin	52.80		24823295
ABCC3	8714	Muscular Atrophy	MESH:D009133		Clofibrate	52.80		6511338
ABCC3	8714	Muscular Atrophy	MESH:D009133		Cocaine	52.80		15204026
ABCC3	8714	Muscular Atrophy	MESH:D009133		Colchicine	52.80		8234983
ABCC3	8714	Muscular Atrophy	MESH:D009133		Dexamethasone	52.80		12135589|12721153|1351811|14518677|14618091|16318624|16967495|17053101|17153611|18436443|18467435|19032942|1947450|19967395|20169591|21094144|24124592|2424746|24550007|4441321
ABCC3	8714	Muscular Atrophy	MESH:D009133		Dietary Fats	52.80		25614714
ABCC3	8714	Muscular Atrophy	MESH:D009133		Hydrocortisone	52.80		4441321|8491306
ABCC3	8714	Muscular Atrophy	MESH:D009133		Mifepristone	52.80		12721153|2424746
ABCC3	8714	Muscular Atrophy	MESH:D009133		Prednisone	52.80		3938399|3998075|6851197|6986827
ABCC3	8714	Muscular Atrophy	MESH:D009133		resveratrol	52.80		20861279|21715682|24534773
ABCC3	8714	Muscular Atrophy	MESH:D009133		Rifampin	52.80		6789927
ABCC3	8714	Muscular Atrophy	MESH:D009133		Tetracycline	52.80		6213862
ABCC3	8714	Muscular Atrophy	MESH:D009133		Vincristine	52.80		4290103|4294312|4314181|5813374
ABCC3	8714	Muscular Atrophy	MESH:D009133		Zidovudine	52.80		1892364|8438050
ABCC4	10257	Muscular Atrophy	MESH:D009133		Amiodarone	42.05		90132
ABCC4	10257	Muscular Atrophy	MESH:D009133		Ciprofloxacin	42.05		19401694
ABCC4	10257	Muscular Atrophy	MESH:D009133		Cisplatin	42.05		24823295
ABCC4	10257	Muscular Atrophy	MESH:D009133		Clofibrate	42.05		6511338
ABCC4	10257	Muscular Atrophy	MESH:D009133		Colchicine	42.05		8234983
ABCC4	10257	Muscular Atrophy	MESH:D009133		Dexamethasone	42.05		12135589|12721153|1351811|14518677|14618091|16318624|16967495|17053101|17153611|18436443|18467435|19032942|1947450|19967395|20169591|21094144|24124592|2424746|24550007|4441321
ABCC4	10257	Muscular Atrophy	MESH:D009133		Dietary Fats	42.05		25614714
ABCC4	10257	Muscular Atrophy	MESH:D009133		irinotecan	42.05		19401694
ABCC4	10257	Muscular Atrophy	MESH:D009133		Quercetin	42.05		25614714
ABCC4	10257	Muscular Atrophy	MESH:D009133		resveratrol	42.05		20861279|21715682|24534773
ABCC4	10257	Muscular Atrophy	MESH:D009133		Tetracycline	42.05		6213862
ABCC4	10257	Muscular Atrophy	MESH:D009133		Vincristine	42.05		4290103|4294312|4314181|5813374
ABCC4	10257	Muscular Atrophy	MESH:D009133		Zidovudine	42.05		1892364|8438050
ABCC5	10057	Muscular Atrophy	MESH:D009133		Cisplatin	32.39		24823295
ABCC5	10057	Muscular Atrophy	MESH:D009133		Cocaine	32.39		15204026
ABCC5	10057	Muscular Atrophy	MESH:D009133		Dietary Fats	32.39		25614714
ABCC5	10057	Muscular Atrophy	MESH:D009133		Quercetin	32.39		25614714
ABCC5	10057	Muscular Atrophy	MESH:D009133		resveratrol	32.39		20861279|21715682|24534773
ABCC5	10057	Muscular Atrophy	MESH:D009133		Rifampin	32.39		6789927
ABCC5	10057	Muscular Atrophy	MESH:D009133		Testosterone	32.39		18436443|21094144|21931329
ABCC5	10057	Muscular Atrophy	MESH:D009133		Vincristine	32.39		4290103|4294312|4314181|5813374
ABCC5	10057	Muscular Atrophy	MESH:D009133		Zidovudine	32.39		1892364|8438050
ABCC6	368	Muscular Atrophy	MESH:D009133		Amiodarone	24.65		90132
ABCC6	368	Muscular Atrophy	MESH:D009133		Clofibrate	24.65		6511338
ABCC6	368	Muscular Atrophy	MESH:D009133		Dexamethasone	24.65		12135589|12721153|1351811|14518677|14618091|16318624|16967495|17053101|17153611|18436443|18467435|19032942|1947450|19967395|20169591|21094144|24124592|2424746|24550007|4441321
ABCC6	368	Muscular Atrophy	MESH:D009133		Dietary Fats	24.65		25614714
ABCC6	368	Muscular Atrophy	MESH:D009133		Quercetin	24.65		25614714
ABCC6	368	Muscular Atrophy	MESH:D009133		Vincristine	24.65		4290103|4294312|4314181|5813374
ABCC6	368	Muscular Atrophy	MESH:D009133		Zidovudine	24.65		1892364|8438050
ABCC8	6833	Muscular Atrophy	MESH:D009133		Cisplatin	9.96		24823295
ABCC8	6833	Muscular Atrophy	MESH:D009133		Mifepristone	9.96		12721153|2424746
ABCC8	6833	Muscular Atrophy	MESH:D009133		resveratrol	9.96		20861279|21715682|24534773
ABCC9	10060	Muscular Atrophy	MESH:D009133		Cocaine	6.19		15204026
ABCC9	10060	Muscular Atrophy	MESH:D009133		resveratrol	6.19		20861279|21715682|24534773
ABCD1	215	Muscular Atrophy	MESH:D009133		Cisplatin	7.36		24823295
ABCD1	215	Muscular Atrophy	MESH:D009133		Zidovudine	7.36		1892364|8438050
ABCD2	225	Muscular Atrophy	MESH:D009133		Dexamethasone	19.58		12135589|12721153|1351811|14518677|14618091|16318624|16967495|17053101|17153611|18436443|18467435|19032942|1947450|19967395|20169591|21094144|24124592|2424746|24550007|4441321
ABCD2	225	Muscular Atrophy	MESH:D009133		Dietary Fats	19.58		25614714
ABCD2	225	Muscular Atrophy	MESH:D009133		Quercetin	19.58		25614714
ABCD2	225	Muscular Atrophy	MESH:D009133		Testosterone	19.58		18436443|21094144|21931329
ABCD2	225	Muscular Atrophy	MESH:D009133		Tetracycline	19.58		6213862
ABCD3	5825	Muscular Atrophy	MESH:D009133		Air Pollutants, Occupational	25.56		10963110
ABCD3	5825	Muscular Atrophy	MESH:D009133		Amiodarone	25.56		90132
ABCD3	5825	Muscular Atrophy	MESH:D009133		Clofibrate	25.56		6511338
ABCD3	5825	Muscular Atrophy	MESH:D009133		Quercetin	25.56		25614714
ABCD3	5825	Muscular Atrophy	MESH:D009133		Testosterone	25.56		18436443|21094144|21931329
ABCD3	5825	Muscular Atrophy	MESH:D009133		Tetracycline	25.56		6213862
ABCD3	5825	Muscular Atrophy	MESH:D009133		Vincristine	25.56		4290103|4294312|4314181|5813374
ABCD4	5826	Muscular Atrophy	MESH:D009133		Amiodarone	22.57		90132
ABCD4	5826	Muscular Atrophy	MESH:D009133		Cocaine	22.57		15204026
ABCD4	5826	Muscular Atrophy	MESH:D009133		Dietary Fats	22.57		25614714
ABCD4	5826	Muscular Atrophy	MESH:D009133		resveratrol	22.57		20861279|21715682|24534773
ABCD4	5826	Muscular Atrophy	MESH:D009133		Vitamin B 12	22.57		2044594
ABCE1	6059	Muscular Atrophy	MESH:D009133		Cisplatin	2.34		24823295
ABCF1	23	Muscular Atrophy	MESH:D009133		Clofibrate	10.01		6511338
ABCF1	23	Muscular Atrophy	MESH:D009133		Dietary Fats	10.01		25614714
ABCF1	23	Muscular Atrophy	MESH:D009133		resveratrol	10.01		20861279|21715682|24534773
ABCF2	10061	Muscular Atrophy	MESH:D009133		Air Pollutants, Occupational	10.45		10963110
ABCF2	10061	Muscular Atrophy	MESH:D009133		resveratrol	10.45		20861279|21715682|24534773
ABCF2	10061	Muscular Atrophy	MESH:D009133		Zidovudine	10.45		1892364|8438050
ABCF3	55324	Muscular Atrophy	MESH:D009133		Clofibrate	8.07		6511338
ABCF3	55324	Muscular Atrophy	MESH:D009133		Zidovudine	8.07		1892364|8438050
ABCG1	9619	Muscular Atrophy	MESH:D009133		Cisplatin	18.90		24823295
